"day" "month" "year" "wy" "tmax_c" "tmin_c" "precip"
1 10 1988 1989 21.23055555 15.33611111 0
2 10 1988 1989 21.23055555 15.33611111 0
3 10 1988 1989 19.74944445 13.008888888 0
4 10 1988 1989 20.80055555 13.797777776 0
5 10 1988 1989 20.80055555 14.152777776 0
6 10 1988 1989 21.23055555 15.33611111 0
7 10 1988 1989 21.23055555 12.575 0
8 10 1988 1989 26.05611111 10.997222222 0
9 10 1988 1989 31.69388889 13.008888888 0
10 10 1988 1989 32.21944445 13.008888888 0
11 10 1988 1989 28.875 13.363888888 0
12 10 1988 1989 23.61944445 14.902222224 0
13 10 1988 1989 21.75611111 13.008888888 0
14 10 1988 1989 20.80055555 13.363888888 0
15 10 1988 1989 24.04944445 10.602777778 0
16 10 1988 1989 28.34944445 11.786111111 0
17 10 1988 1989 28.875 13.363888888 0
18 10 1988 1989 22.66388889 16.55888889 0
19 10 1988 1989 22.18611111 17.34777778 0
20 10 1988 1989 20.275 14.152777776 0
21 10 1988 1989 20.80055555 17.34777778 0
22 10 1988 1989 20.80055555 15.69111111 0
23 10 1988 1989 18.36388889 16.125 0
24 10 1988 1989 18.79388889 15.69111111 0
25 10 1988 1989 18.79388889 14.902222224 0
26 10 1988 1989 19.74944445 15.69111111 0
27 10 1988 1989 18.36388889 15.69111111 0
28 10 1988 1989 18.36388889 12.575 0
29 10 1988 1989 21.23055555 9.813888889 0
30 10 1988 1989 21.23055555 9.813888889 0
31 10 1988 1989 22.18611111 10.247777778 0
1 11 1988 1989 24.04944445 14.547222224 0
2 11 1988 1989 21.75611111 9.813888889 0
3 11 1988 1989 22.18611111 11.352222222 0
4 11 1988 1989 23.09388889 11.786111111 0
5 11 1988 1989 24.04944445 12.575 0
6 11 1988 1989 24.575 12.575 0
7 11 1988 1989 20.275 15.33611111 0
8 11 1988 1989 19.74944445 10.997222222 0
9 11 1988 1989 19.74944445 10.997222222 0
10 11 1988 1989 19.74944445 12.141111111 0
11 11 1988 1989 20.275 10.602777778 0
12 11 1988 1989 20.80055555 10.602777778 0
13 11 1988 1989 19.31944445 10.247777778 2.557
14 11 1988 1989 18.79388889 11.786111111 0
15 11 1988 1989 19.31944445 8.591111111 0
16 11 1988 1989 20.275 7.052777778 0
17 11 1988 1989 21.75611111 11.786111111 0
18 11 1988 1989 20.80055555 7.447222222 0
19 11 1988 1989 19.74944445 6.697777778 0
20 11 1988 1989 18.36388889 4.686111111 0
21 11 1988 1989 20.80055555 5.908888889 0
22 11 1988 1989 20.80055555 6.263888889 0
23 11 1988 1989 20.275 10.602777778 0
24 11 1988 1989 17.88611111 9.813888889 1.576
25 11 1988 1989 18.36388889 10.997222222 16.745
26 11 1988 1989 18.36388889 11.352222222 0
27 11 1988 1989 20.275 7.447222222 0
28 11 1988 1989 20.275 6.697777778 0
29 11 1988 1989 26.05611111 7.802222222 0
30 11 1988 1989 29.83055555 10.247777778 0
1 12 1988 1989 30.78611111 9.025 0
2 12 1988 1989 25.10055555 8.591111111 0
3 12 1988 1989 23.09388889 10.997222222 0
4 12 1988 1989 21.75611111 9.813888889 0
5 12 1988 1989 21.75611111 9.813888889 0
6 12 1988 1989 24.575 10.247777778 0
7 12 1988 1989 26.48611111 16.91388889 0
8 12 1988 1989 24.04944445 12.141111111 0
9 12 1988 1989 22.66388889 7.802222222 0
10 12 1988 1989 22.18611111 6.697777778 0
11 12 1988 1989 22.66388889 7.052777778 0
12 12 1988 1989 24.04944445 7.052777778 0
13 12 1988 1989 24.575 7.447222222 0
14 12 1988 1989 18.79388889 12.575 0
15 12 1988 1989 15.975 12.575 6.631
16 12 1988 1989 15.975 12.575 2.163
17 12 1988 1989 15.975 11.352222222 37.115
18 12 1988 1989 16.93055555 9.813888889 2.824
19 12 1988 1989 16.93055555 9.458888889 0
20 12 1988 1989 17.45611111 12.575 25.016
21 12 1988 1989 17.45611111 10.602777778 0.357
22 12 1988 1989 17.45611111 6.697777778 3.98
23 12 1988 1989 17.45611111 7.447222222 0
24 12 1988 1989 15.975 9.813888889 12.657
25 12 1988 1989 14.063888891 9.025 0
26 12 1988 1989 15.44944445 5.475 0
27 12 1988 1989 15.44944445 3.147777778 0
28 12 1988 1989 15.019444445 8.591111111 0
29 12 1988 1989 14.493888891 5.475 0
30 12 1988 1989 15.44944445 5.908888889 0
31 12 1988 1989 15.44944445 8.591111111 0
1 1 1989 1989 16.50055555 7.447222222 0
2 1 1989 1989 18.79388889 5.041111111 0
3 1 1989 1989 19.74944445 5.475 0
4 1 1989 1989 22.66388889 8.236111111 0
5 1 1989 1989 19.31944445 10.602777778 2.297
6 1 1989 1989 15.019444445 8.236111111 0.501
7 1 1989 1989 15.44944445 5.475 0
8 1 1989 1989 15.44944445 3.897222222 0
9 1 1989 1989 16.50055555 5.475 0
10 1 1989 1989 20.80055555 7.052777778 0
11 1 1989 1989 21.75611111 8.236111111 0
12 1 1989 1989 17.45611111 4.252222222 0
13 1 1989 1989 15.975 4.252222222 0
14 1 1989 1989 16.50055555 4.686111111 0
15 1 1989 1989 15.44944445 4.686111111 0
16 1 1989 1989 18.36388889 5.041111111 0
17 1 1989 1989 20.275 5.041111111 0
18 1 1989 1989 23.09388889 6.697777778 0
19 1 1989 1989 24.575 7.052777778 0
20 1 1989 1989 24.575 7.447222222 0
21 1 1989 1989 22.18611111 10.247777778 0
22 1 1989 1989 22.66388889 7.052777778 0
23 1 1989 1989 16.93055555 10.602777778 0
24 1 1989 1989 19.31944445 8.591111111 0
25 1 1989 1989 19.74944445 5.908888889 0
26 1 1989 1989 17.88611111 5.041111111 0
27 1 1989 1989 18.36388889 5.041111111 0
28 1 1989 1989 16.93055555 8.236111111 0
29 1 1989 1989 18.79388889 6.263888889 0
30 1 1989 1989 22.18611111 7.052777778 0
31 1 1989 1989 23.61944445 7.447222222 0
1 2 1989 1989 17.88611111 9.813888889 0
2 2 1989 1989 15.975 7.447222222 0
3 2 1989 1989 16.93055555 9.458888889 0
4 2 1989 1989 13.156111109 11.786111111 38.289
5 2 1989 1989 13.586111109 7.447222222 0
6 2 1989 1989 14.063888891 2.713888889 0
7 2 1989 1989 13.586111109 5.041111111 0
8 2 1989 1989 13.586111109 9.813888889 56.798
9 2 1989 1989 15.019444445 11.786111111 1.283
10 2 1989 1989 16.50055555 7.447222222 0
11 2 1989 1989 19.31944445 6.263888889 0
12 2 1989 1989 19.74944445 8.236111111 0
13 2 1989 1989 18.36388889 7.802222222 0
14 2 1989 1989 15.019444445 5.475 0
15 2 1989 1989 15.44944445 6.263888889 0
16 2 1989 1989 15.975 5.908888889 0
